acidez_fixa,acidez_volatil,acido_citrico,acucar_residual,cloretos,dioxido_enxofre_livre,dioxido_enxofre_total,densidade,ph,sulfitos,alcool,qualidade
11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,3
10.4,0.61,0.49,2.1,0.11999999999999998,5.0,16.0,0.9994,3.16,0.63,8.4,3
7.4,1.0150000000000001,0.0,3.6500000000000004,0.097,5.0,14.0,0.9966,3.63,0.54,10.7,3
10.4,0.44,0.42,1.5,0.11999999999999998,34.0,48.0,0.99832,3.38,0.86,9.9,3
8.3,1.0150000000000001,0.02,3.4,0.084,6.0,11.0,0.99892,3.48,0.49,11.0,3
7.6,1.0150000000000001,0.0,2.1,0.11999999999999998,5.0,9.0,0.99476,3.5,0.4,10.9,3
6.8,0.815,0.0,1.2,0.11999999999999998,16.0,29.0,0.99471,3.32,0.51,9.8,3
7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,3
7.1,0.875,0.05,3.6500000000000004,0.082,3.0,14.0,0.99808,3.4,0.52,10.2,3
6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,3
7.411870207234542,0.9623236580256719,0.01881297927654579,2.6832023575729194,0.10570213574982519,4.247480828938168,10.881297927654579,0.9960091818239626,3.462374041446908,0.4451511502637099,10.636618290128359,3
7.416700143339734,1.0150000000000001,0.0,3.5205738891170637,0.09892051648406938,5.0,13.582496416506656,0.9964463586812745,3.619144906829173,0.5283098996621864,10.716700143339732,3
8.032576299112925,0.9838005682298412,0.026685592522176897,3.4557132710181406,0.08355429383185488,5.3314407477823105,11.66855925221769,0.9987328034093791,3.4621717532741947,0.4966855925221769,10.82171753274195,3
8.333904275977522,0.6937606374603708,0.22755000262417163,1.9324787250792586,0.09654702151109618,5.558404249735805,13.76638300105678,0.9975014255508983,3.377777657396964,0.63,9.265526587090498,3
8.003044593527116,1.0150000000000001,0.011515559815060474,2.848511387978931,0.09927199233289113,5.575777990753024,10.151555981506048,0.9971552364415326,3.4884844401849393,0.45182001916777215,10.957577799075302,3
10.10969859379368,0.6446488775149477,0.44879592944168384,2.1,0.11447490872058941,6.404684223578961,19.09030529187371,0.9991799328049726,3.1740468422357897,0.6225083508075788,8.521739299376843,3
10.4,0.45890357199204573,0.4277838237614306,1.5667184893836907,0.11999999999999998,30.775273013121613,44.44168056620316,0.9984400932808907,3.3555365538926467,0.8344245790695852,9.733203776540773,3
7.856637406138227,1.0150000000000001,0.010147497914182816,3.523156276072715,0.09040412635578117,5.507374895709141,12.477875312872577,0.9977771097580452,3.553893765643629,0.514631255214543,10.852212468712741,3
7.396593906569775,1.0134104897325615,0.0005676822383709534,3.6500000000000004,0.09682969532848872,4.977292710465162,14.0,0.9966168033942558,3.6273886617034936,0.5397729271046516,10.69432317761629,3
